IID	residual	weight	indicator
Subj-101	-1.11128617796554	0.792452830188679	0
Subj-11	-1.10100187864138	0.792452830188679	0
Subj-111	-1.11544172923917	0.792452830188679	0
Subj-112	-1.11819950180826	0.792452830188679	0
Subj-116	-1.12809966676705	0.792452830188679	0
Subj-119	-1.12447817097115	0.792452830188679	0
Subj-120	-1.12587443031611	0.792452830188679	0
Subj-123	-1.11798531517505	0.792452830188679	0
Subj-124	-1.09836793348683	0.792452830188679	0
Subj-128	-1.1132829855519	0.792452830188679	0
Subj-137	-1.10927232157676	0.792452830188679	0
Subj-14	-1.09110619773168	0.792452830188679	0
Subj-143	-1.12766960202459	0.792452830188679	0
Subj-145	-1.10611456439277	0.792452830188679	0
Subj-148	-1.1250150501333	0.792452830188679	0
Subj-152	-1.10991931349773	0.792452830188679	0
Subj-155	-1.12192503515164	0.792452830188679	0
Subj-156	-1.12721828992195	0.792452830188679	0
Subj-157	10.895867906836	1	1
Subj-159	-1.13941152515505	0.792452830188679	0
Subj-16	-1.09999258413372	0.792452830188679	0
Subj-162	9.85806414021955	1	1
Subj-165	-1.11914415371938	0.792452830188679	0
Subj-172	-1.10611827766601	0.792452830188679	0
Subj-177	-1.10778909132617	0.792452830188679	0
Subj-18	-1.11942879663188	0.792452830188679	0
Subj-184	-1.08488298492359	0.792452830188679	0
Subj-186	-1.10249409430017	0.792452830188679	0
Subj-19	12.0020591949427	1	1
Subj-191	-1.10972267556674	0.792452830188679	0
Subj-193	-1.10007987913312	0.792452830188679	0
Subj-198	-1.09149949963523	0.792452830188679	0
Subj-203	-1.09166655683126	0.792452830188679	0
Subj-206	-1.09639357845586	0.792452830188679	0
Subj-207	-1.08879421084803	0.792452830188679	0
Subj-210	-1.11104678961338	0.792452830188679	0
Subj-215	-1.12730583160581	0.792452830188679	0
Subj-223	-1.10224688694244	0.792452830188679	0
Subj-224	-1.10182649210907	0.792452830188679	0
Subj-229	-1.10029818618386	0.792452830188679	0
Subj-23	-1.08163730259696	0.792452830188679	0
Subj-230	-1.08905844863508	0.792452830188679	0
Subj-236	-1.11032868299157	0.792452830188679	0
Subj-238	-1.09132868056527	0.792452830188679	0
Subj-239	-1.10561831810205	0.792452830188679	0
Subj-242	-1.11906103319894	0.792452830188679	0
Subj-244	-1.11516831805954	0.792452830188679	0
Subj-245	-1.11299636897085	0.792452830188679	0
Subj-246	-1.11932905502919	0.792452830188679	0
Subj-248	-1.12293567114121	0.792452830188679	0
Subj-25	-1.09451974793221	0.792452830188679	0
Subj-250	-1.10113149659047	0.792452830188679	0
Subj-251	-1.09694138451544	0.792452830188679	0
Subj-253	8.54481049486313	1	1
Subj-256	-1.12976632654923	0.792452830188679	0
Subj-259	-1.11212493196744	0.792452830188679	0
Subj-26	-1.10500016589016	0.792452830188679	0
Subj-262	-1.11256730385085	0.792452830188679	0
Subj-267	-1.11115420229259	0.792452830188679	0
Subj-274	-1.09972389434953	0.792452830188679	0
Subj-278	10.0254787438751	1	1
Subj-28	-1.09820764523436	0.792452830188679	0
Subj-281	-1.08246060013491	0.792452830188679	0
Subj-282	9.51700227506816	1	1
Subj-283	-1.09462364573004	0.792452830188679	0
Subj-285	-1.15231909170907	0.792452830188679	0
Subj-286	-1.11477960349013	0.792452830188679	0
Subj-29	-1.12686031809788	0.792452830188679	0
Subj-294	-1.11666560332848	0.792452830188679	0
Subj-295	-1.09748178179448	0.792452830188679	0
Subj-301	-1.09751864452208	0.792452830188679	0
Subj-303	-1.09527003715128	0.792452830188679	0
Subj-304	-1.10158463551732	0.792452830188679	0
Subj-307	-1.12476498423429	0.792452830188679	0
Subj-308	-1.12837558917043	0.792452830188679	0
Subj-309	-1.11152526153053	0.792452830188679	0
Subj-318	-1.11514148072849	0.792452830188679	0
Subj-321	-1.09729365875916	0.792452830188679	0
Subj-328	-1.11827683235243	0.792452830188679	0
Subj-33	-1.11902196333568	0.792452830188679	0
